"symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"ELAVL1",-3.08497004790938,-30.1160047116538,2.15614579922006e-14,1.1040505598416e-12,"HGNC:3312","ELAVL1",1994,1994,TRUE
"RPL3",-3.02961941714468,-29.8866095366316,2.40271014131669e-14,1.21565691673761e-12,"HGNC:10332","RPL3",6122,6122,TRUE
"SRSF4",-2.90845351258166,-29.6981531233733,2.62781910948289e-14,1.31390955474144e-12,"HGNC:10786","SRSF4",6429,6429,TRUE
"RPL10A",-2.72818507081234,-29.6682440214441,2.66557055362296e-14,1.31728777359274e-12,"HGNC:10299","RPL10A",4736,4736,TRUE
"LRRC59",-2.96114717395379,-29.6141270035189,2.73535818871798e-14,1.32233515808111e-12,"HGNC:28817","LRRC59",55379,55379,TRUE
"AHCY",-1.78761291481729,-29.6120986015876,2.73801162143853e-14,1.32233515808111e-12,"HGNC:343","AHCY",191,191,TRUE
"RPS3",-2.84981742684982,-29.5555000144858,2.8131706316377e-14,1.33169058867101e-12,"HGNC:10420","RPS3",6188,6188,TRUE
"HSP90B1",-2.38406265533495,-29.5503999252266,2.82005065836214e-14,1.33169058867101e-12,"HGNC:12028","HSP90B1",7184,7184,TRUE
"HYOU1",-2.1360131907737,-29.4588728181881,2.94662644486678e-14,1.37617169128393e-12,"HGNC:16931","HYOU1",10525,10525,TRUE
"SUB1",-3.83400620703618,-29.3147247604755,3.15844071182857e-14,1.44422215454079e-12,"HGNC:19985","SUB1",10923,10923,TRUE
"CCDC50",-2.60084716733133,-29.313507028869,3.1602978911128e-14,1.44422215454079e-12,"HGNC:18111","CCDC50",152137,152137,TRUE
"B3GAT3",-2.36580384228378,-29.2829642979646,3.20726275375192e-14,1.44493044441564e-12,"HGNC:923","B3GAT3",26229,26229,TRUE
"CTSA",-1.76299931991477,-29.268448353655,3.22984452281143e-14,1.44493044441564e-12,"HGNC:9251","CTSA",5476,5476,TRUE
"MARS1",-2.06315556538276,-29.1966660348171,3.34403774719295e-14,1.48043337766355e-12,"HGNC:6898","MARS1",4141,4141,TRUE
"RPL9",-3.24877542295706,-29.1438534135851,3.43080491295052e-14,1.50318771959172e-12,"HGNC:10369","RPL9",6133,6133,TRUE
"SEC61A1",-2.51966195299643,-29.112278489252,3.48382665935031e-14,1.510843194106e-12,"HGNC:18276","SEC61A1",29927,29927,TRUE
"LSM12",-1.77462541378707,-29.0361201078088,3.61535100060636e-14,1.55204462147243e-12,"HGNC:26407","LSM12",124801,124801,TRUE
"PA2G4",-2.08212059777467,-28.8173593439381,4.02353503887812e-14,1.69814429104204e-12,"HGNC:8550","PA2G4",5036,5036,TRUE
"RPS25",-3.30186479519033,-28.8112643829078,4.03558996224109e-14,1.69814429104204e-12,"HGNC:10413","RPS25",6230,6230,TRUE
"RPL14",-2.93392094711935,-28.733723777002,4.19236808512504e-14,1.74682003546877e-12,"HGNC:10305","RPL14",9045,9045,TRUE
"EIF3I",-1.89544017973528,-28.6285460009529,4.41550758234224e-14,1.82193274028685e-12,"HGNC:3272","EIF3I",8668,8668,TRUE
"SEC22B",-1.88336807507102,-28.5606072332976,4.56636528758325e-14,1.86606273771431e-12,"HGNC:10700","SEC22B",9554,9554,TRUE
"COPG1",-2.00609814992916,-28.37308502229,5.01206179051186e-14,2.02243885861314e-12,"HGNC:2236","COPG1",22820,22820,TRUE
"CKAP4",-3.16296088405147,-28.3602585489293,5.04420044736454e-14,2.02243885861314e-12,"HGNC:16991","CKAP4",10970,10970,TRUE
"ARCN1",-2.24439837523349,-28.3382193725176,5.09993823326424e-14,2.0256764010629e-12,"HGNC:649","ARCN1",372,372,TRUE
"RACK1",-2.93018559175858,-28.296799727835,5.20647818089898e-14,2.04884558044636e-12,"HGNC:4399","RACK1",10399,10399,TRUE
"RPLP2",-2.69795891175769,-28.2643665386146,5.29156263561083e-14,2.06322396342624e-12,"HGNC:10377","RPLP2",6181,6181,TRUE
"ERP44",-1.82335597006171,-28.2352567977548,5.36919407338155e-14,2.07446134653378e-12,"HGNC:18311","ERP44",23071,23071,TRUE
"RPL5",-3.09481665077712,-28.0750806935142,5.81870609595978e-14,2.20844184426813e-12,"HGNC:10360","RPL5",6125,6125,TRUE
"RPL23",-3.21992276053289,-28.0746752022443,5.81989380136543e-14,2.20844184426813e-12,"HGNC:10316","RPL23",9349,9349,TRUE
"EIF4A2",-2.1005110387651,-27.9797360135268,6.10523588463976e-14,2.29621703625832e-12,"HGNC:3284","EIF4A2",1974,1974,TRUE
"EEF1B2",-2.11455871531703,-27.9616611876741,6.16123450618167e-14,2.2969514606379e-12,"HGNC:3208","EEF1B2",1933,1933,TRUE
"EIF3F",-2.30814396690138,-27.9000388211961,6.35631208934645e-14,2.3490718591063e-12,"HGNC:3275","EIF3F",8665,8665,TRUE
"RPL35A",-3.13246290177591,-27.6514854521332,7.21278982699195e-14,2.63086739074857e-12,"HGNC:10345","RPL35A",6165,6165,TRUE
"LSM4",-1.75053814331853,-27.6434054783821,7.24262316982546e-14,2.63086739074857e-12,"HGNC:17259","LSM4",25804,25804,TRUE
"BUB3",-3.1359710386071,-27.5797006674789,7.48250635149374e-14,2.69497050795325e-12,"HGNC:1151","BUB3",9184,9184,TRUE
"RPL24",-2.83794032674514,-27.5550966863834,7.5774137137017e-14,2.70621918346489e-12,"HGNC:10325","RPL24",6152,6152,TRUE
"SF3B1",-2.7957739023974,-27.4739094052038,7.89981839487079e-14,2.79785234818341e-12,"HGNC:10768","SF3B1",23451,23451,TRUE
"RBM4B",-2.00884847553828,-27.4473206878596,8.00856630476322e-14,2.8129261814251e-12,"HGNC:28842","RBM4B",83759,83759,TRUE
"RPS13",-3.27298654622927,-27.3505974065814,8.41785576277255e-14,2.93244975342486e-12,"HGNC:10386","RPS13",6207,6207,TRUE
