"","symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"2748","RBM27",0.649837004501232,0.649837004501232,3.0860033200647e-05,0.00013122621547342,"HGNC:29243","RBM27",54439,54439,FALSE
"2749","LRRTM2",-0.790997396592764,-0.790997396592764,3.09779644015827e-05,0.000131688559899657,"HGNC:19409","LRRTM2",26045,26045,FALSE
"2750","ERLEC1",0.524722128020763,0.524722128020763,3.10468945861724e-05,0.000131942386288548,"HGNC:25222","ERLEC1",27248,27248,FALSE
"2751","HDDC3",0.741388020245814,0.741388020245814,3.11106139796081e-05,0.00013217392382251,"HGNC:30522","HDDC3",374659,374659,FALSE
"2752","RNF208",0.784162529818502,0.784162529818502,3.13869230353103e-05,0.000133308246278496,"HGNC:25420","RNF208",727800,727800,FALSE
"2753","B4GAT1",-1.53045937828801,-1.53045937828801,3.14281020267105e-05,0.000133443534688487,"HGNC:15685","B4GAT1",11041,11041,FALSE
"2754","ARFGAP2",-0.662126306357582,-0.662126306357582,3.14625990271318e-05,0.000133525347497882,"HGNC:13504","ARFGAP2",84364,84364,FALSE
"2755","REXO2",0.777842007845151,0.777842007845151,3.14660333889761e-05,0.000133525347497882,"HGNC:17851","REXO2",25996,25996,FALSE
"2756","TXLNA",-0.708716529464722,-0.708716529464722,3.161381442348e-05,0.000134112680280337,"HGNC:30685","TXLNA",200081,200081,FALSE
"2757","PRCC",-0.620008937216744,-0.620008937216744,3.1785342925992e-05,0.000134800376979259,"HGNC:9343","PRCC",5546,5546,FALSE
"2758","FAXC",0.706553072062073,0.706553072062073,3.20556908655577e-05,0.000135906631287486,"HGNC:20742","FAXC",84553,84553,FALSE
"2759","NSMCE1",0.772081868886461,0.772081868886461,3.22191013607788e-05,0.000136518543491674,"HGNC:29897","NSMCE1",197370,197370,FALSE
"2760","DYM",0.593589822193495,0.593589822193495,3.24251342352184e-05,0.000137314468353261,"HGNC:21317","DYM",54808,54808,FALSE
"2761","SFSWAP",-0.627952939657068,-0.627952939657068,3.24261365969437e-05,0.000137314468353261,"HGNC:10790","SFSWAP",6433,6433,FALSE
"2762","TMEM87B",-0.734774948365012,-0.734774948365012,3.24380335963236e-05,0.000137324207908223,"HGNC:25913","TMEM87B",84910,84910,FALSE
"2763","PARP9",0.757719161659132,0.757719161659132,3.24571544275177e-05,0.000137364514257128,"HGNC:24118","PARP9",83666,83666,FALSE
"2764","THRB",0.731952413259475,0.731952413259475,3.25291562026084e-05,0.000137628532259942,"HGNC:11799","THRB",7068,7068,FALSE
"2765","PPIL2",-0.709507359073103,-0.709507359073103,3.25830304105129e-05,0.000137815720409113,"HGNC:9261","PPIL2",23759,23759,FALSE
"2766","TSC1",0.625430804741178,0.625430804741178,3.26575121097738e-05,0.000138089935218308,"HGNC:12362","TSC1",7248,7248,FALSE
"2767","TMEM215",-1.68444323232209,-1.68444323232209,3.27667653674316e-05,0.000138470066639864,"HGNC:33816","TMEM215",401498,401498,FALSE
"2768","CFAP44",-1.42137644356878,-1.42137644356878,3.29057333814922e-05,0.000138975247625671,"HGNC:25631","CFAP44",55779,55779,FALSE
"2769","ACTN1",-0.605843193273145,-0.605843193273145,3.31076761112146e-05,0.000139786880340917,"HGNC:163","ACTN1",87,87,FALSE
"2770","CACNG5",-1.3567679466556,-1.3567679466556,3.32116064084251e-05,0.000140184329232494,"HGNC:1409","CACNG5",27091,27091,FALSE
"2771","ATP6V0A1",-0.727617806920843,-0.727617806920843,3.33632969864845e-05,0.000140741573284082,"HGNC:865","ATP6V0A1",535,535,FALSE
"2772","AP4S1",0.830050302769343,0.830050302769343,3.3402673327993e-05,0.000140866151680003,"HGNC:575","AP4S1",11154,11154,FALSE
